id,score,score_factor
793,4,good
794,1,good
795,5,very good
796,5,very good
797,2,good
798,6,very good
799,6,very good
800,2,good
801,4,good
802,1,good
803,12,very good
804,6,very good
805,6,very good
806,-1,bad
807,1,good
808,1,good
809,4,good
810,3,good
811,-3,bad
812,-3,bad
813,-4,bad
814,1,good
815,4,good
816,4,good
817,1,good
818,1,good
819,-4,bad
820,-1,bad
821,-1,bad
822,1,good
823,-3,bad
824,5,very good
825,5,very good
826,3,good
827,3,good
828,3,good
829,1,good
830,1,good
831,-15,very bad
832,1,good
833,1,good
834,4,good
835,-1,bad
836,-3,bad
837,6,very good
838,5,very good
839,1,good
840,-1,bad
841,-3,bad
842,3,good
843,-3,bad
844,-3,bad
845,4,good
846,1,good
847,-1,bad
848,1,good
849,1,good
850,24,very good
851,4,good
852,1,good
853,3,good
854,1,good
855,1,good
856,6,very good
857,3,good
858,3,good
859,1,good
860,1,good
861,1,good
862,1,good
863,1,good
864,18,very good
865,5,very good
866,5,very good
867,4,good
868,2,good
869,6,very good
870,1,good
871,1,good
872,1,good
873,1,good
874,3,good
875,1,good
876,1,good
877,6,very good
878,6,very good
879,4,good
880,4,good
881,-5,bad
882,-5,bad
883,-5,bad
884,-1,bad
885,2,good
886,2,good
887,-3,bad
888,-3,bad
889,2,good
890,4,good
891,6,very good
892,1,good
893,5,very good
894,5,very good
895,1,good
896,8,very good
897,4,good
898,4,good
899,4,good
900,1,good
901,7,very good
902,2,good
903,1,good
904,3,good
905,16,very good
906,1,good
907,1,good
908,-9,very bad
909,-3,bad
910,-3,bad
911,-3,bad
912,3,good
913,5,very good
914,1,good
915,1,good
916,1,good
917,4,good
918,4,good
919,4,good
920,1,good
921,1,good
922,-1,bad
923,4,good
924,4,good
925,3,good
926,-3,bad
927,3,good
928,4,good
929,8,very good
930,1,good
931,4,good
932,3,good
933,1,good
934,1,good
935,8,very good
936,4,good
937,4,good
938,3,good
939,1,good
940,1,good
941,7,very good
942,2,good
943,1,good
944,3,good
945,16,very good
946,1,good
947,1,good
948,-9,very bad
949,-3,bad
950,-3,bad
951,-3,bad
952,5,very good
953,1,good
954,1,good
955,1,good
956,4,good
957,4,good
